eval_index,frame_original_index,mask_original_index,pred_path,gt_path,mask_path,pred_name,gt_name,mask_name,pred_stem,gt_stem,mask_stem,pred_orig_size,gt_orig_size,mask_orig_size,pred_gt_same_name,gt_mask_same_name,mask_ratio,hole_pixels,PSNR_all,PSNR_hole,SSIM_all,SSIM_hole,PSNR_nomask,SSIM_nomask,LPIPS,nonmask_dil30_ratio,PSNR_nonmask_dil30,SSIM_nonmask_dil30,hole_psnr_gt_all,jump_image,jump_mask,gt_original_index,aligned_pair
20,20,20,results/B_mask_20_30_reliability_inference/frames/0005.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00040.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000114.png,0005.png,00040.jpg,0000114.png,0005,00040,0000114,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2499237060546875,16379,7.602561203876025,6.145264775771711,0.20279572904109955,0.1834544688463211,8.221625201330415,0.2083478420972824,0.7876003980636597,0.1946868896484375,7.390384590304047,0.2010253667831421,False,0,0,20,pred[20] <-> gt[20] <-> mask[20]
21,21,21,results/B_mask_20_30_reliability_inference/line_debug/0005_center.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00042.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000117.png,0005_center.png,00042.jpg,0000117.png,0005_center,00042,0000117,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2724761962890625,17857,5.616647710965857,3.575973583523085,0.011531596072018147,0.010401035659015179,6.721629440198336,0.01617136038839817,0.7981369495391846,0.318328857421875,5.974969498352194,0.011531596072018147,False,0,0,21,pred[21] <-> gt[21] <-> mask[21]
22,22,22,results/B_mask_20_30_reliability_inference/line_debug/0005_reliability.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00044.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000122.png,0005_reliability.png,00044.jpg,0000122.png,0005_reliability,00044,0000122,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2872161865234375,18823,5.503549462787869,5.9150355581807705,0.009038706310093403,0.004595949314534664,5.3481662020783425,0.012795648537576199,0.8070697784423828,0.32891845703125,6.1129724894235835,0.007558883633464575,True,0,0,22,pred[22] <-> gt[22] <-> mask[22]
23,23,23,results/B_mask_20_30_reliability_inference/line_debug/0005_soft.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00046.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000131.png,0005_soft.png,00046.jpg,0000131.png,0005_soft,00046,0000131,"[256, 256]","[256, 256]","[256, 256]",False,False,0.208282470703125,13650,5.008169703187809,5.265311948690833,0.006275958847254515,0.005439193919301033,4.94297636512171,0.007196355145424604,0.7985827922821045,0.285614013671875,5.158526498334025,0.0055383737199008465,True,0,0,23,pred[23] <-> gt[23] <-> mask[23]
24,24,24,results/B_mask_20_30_reliability_inference/frames/0006.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00048.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000145.png,0006.png,00048.jpg,0000145.png,0006,00048,0000145,"[256, 256]","[256, 256]","[256, 256]",False,False,0.247650146484375,16230,8.778100317603696,11.806443201688984,0.25780048966407776,0.30943337082862854,8.113846687142402,0.2646940052509308,0.7508706450462341,0.253692626953125,12.034505182782882,0.2622440755367279,True,0,0,24,pred[24] <-> gt[24] <-> mask[24]
25,25,25,results/B_mask_20_30_reliability_inference/line_debug/0006_center.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00050.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000149.png,0006_center.png,00050.jpg,0000149.png,0006_center,00050,0000149,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2644805908203125,17333,4.506210645671395,5.578384862549819,0.0009874115930870175,0.0008666456560604274,4.177349165083354,0.00038648367626592517,0.8030025362968445,0.421112060546875,4.604251149536535,0.0009874115930870175,True,0,0,25,pred[25] <-> gt[25] <-> mask[25]
26,26,26,results/B_mask_20_30_reliability_inference/line_debug/0006_reliability.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00052.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000150.png,0006_reliability.png,00052.jpg,0000150.png,0006_reliability,00052,0000150,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2770233154296875,18155,4.434763778356074,4.3424440903666515,0.0035143971908837557,0.0034062957856804132,4.470664150328565,0.003283015452325344,0.8362123370170593,0.260528564453125,4.3401837486174415,0.00311841513030231,False,0,0,26,pred[26] <-> gt[26] <-> mask[26]
27,27,27,results/B_mask_20_30_reliability_inference/line_debug/0006_soft.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00054.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000159.png,0006_soft.png,00054.jpg,0000159.png,0006_soft,00054,0000159,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2857513427734375,18727,4.0088328965177915,4.118798744369519,0.004271483980119228,0.004271483980119228,3.96560660841762,0.0037526306696236134,0.8412901759147644,0.3582763671875,4.225041356738792,0.004271483980119228,True,0,0,27,pred[27] <-> gt[27] <-> mask[27]
28,28,28,results/B_mask_20_30_reliability_inference/frames/0007.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00056.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000162.png,0007.png,00056.jpg,0000162.png,0007,00056,0000162,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2151641845703125,14101,9.289527435085379,10.849691499268356,0.3007485568523407,0.26630622148513794,8.944296299560477,0.2775336802005768,0.7741708159446716,0.198333740234375,8.953210503466398,0.2397162914276123,True,0,0,28,pred[28] <-> gt[28] <-> mask[28]
29,29,29,results/B_mask_20_30_reliability_inference/line_debug/0007_center.png,/root/autodl-tmp/Inpainting/BundleFusion/B_imgs_gt/office0/00058.jpg,/root/autodl-tmp/Inpainting/masks/irregular_mask/mask_rates_20_30/0000176.png,0007_center.png,00058.jpg,0000176.png,0007_center,00058,0000176,"[256, 256]","[256, 256]","[256, 256]",False,False,0.2762451171875,18104,4.242534575088319,3.5241715365646358,0.005055065732449293,0.0031275611836463213,4.551431577823987,0.006377949845045805,0.8311982750892639,0.3496246337890625,3.6109465202779676,0.005071580875664949,False,0,0,29,pred[29] <-> gt[29] <-> mask[29]
